net,length_um
display_inst.display_counter\[1\],494.02
display_inst.clk_div\[4\],405.42
display_inst.display_counter\[2\],403.69
_22_,369.92
display_inst.clk_div\[0\],338.22
display_inst.clk_div\[5\],330.22
_09_,316.68
display_inst.display_counter\[0\],295.06
_24_,272.31
_27_,271.71
display_inst.clk_div\[6\],263.04
net3,255.98
display_inst.clk_div\[1\],251.84
display_inst.clk_div\[8\],249
_00_,248.74
clknet_1_1__leaf_clk,238.62
net7,237.04
_15_,216.04
_04_,203.78
_06_,201.885
net1,194.56
net4,182.66
_10_,181.46
net2,181.02
_19_,174.36
display_inst.clk_div\[2\],166.92
_08_,165.6
clknet_1_0__leaf_clk,162.92
display_inst.clk_div\[3\],158.4
net6,154.2
_12_,153.86
_13_,148.7
net8,147.4
_25_,145.9
clk,142.61
_20_,135.86
_03_,125.96
_14_,124.99
_16_,124.34
_17_,123.07
display_inst.clk_div\[7\],117.26
_01_,116.125
_05_,107.94
_30_,106.24
_02_,98.405
net5,97.52
_23_,90.58
_18_,88.64
_26_,88.46
_11_,59.04
_21_,50.7
_28_,48.44
clknet_0_clk,48.18
_29_,45.68
_07_,36.105
net10,5.97
net14,5.97
an[1],5.29
an[3],5.29
an[5],5.29
an[7],5.29
net12,5.29
net13,4.61
net15,4.61
net9,4.61
an[0],3.93
an[2],3.93
an[4],3.93
an[6],3.93
net11,3.93
